"Radha, Coalition Warlord",0.05130874479476502,345.0,U,"Red, Green"
Radiant Grove,0.007021845742309407,126.0,C,Colourless
"Raff, Weatherlight Stalwart",0.23752792256142963,1595.0,U,"White, Blue"
Ratadrabik of Urborg,0.21103395061728394,547.0,R,"White, Black"
Relic of Legends,0.003989361702127659,27.0,U,Colourless
Resolute Reinforcements,0.061416397296503084,418.0,U,White
"Rith, Liberated Primeval",0.9216914643696162,1177.0,M,"White, Red, Green"
Rivaz of the Claw,0.11014607185155942,279.0,R,"Black, Red"
Rona's Vortex,0.24496350364963504,1678.0,U,Blue
"Rona, Sheoldred's Faithful",0.023501413059645992,158.0,U,"Blue, Black"
"Rulik Mons, Warren Chief",0.039593605259226054,265.0,U,"Red, Green"
Rundvelt Hordemaster,0.038729666924864445,100.0,R,Red
Runic Shot,0.09414568747206913,632.0,U,White
Sacred Peaks,0.003320389442287129,59.0,C,Colourless
Salvaged Manaworker,0.0002781641168289291,5.0,C,Colourless
Samite Herbalist,0.001293515550306507,23.0,C,White
Scout the Wilderness,0.0006773538044705351,12.0,C,Green
Sengir Connoisseur,0.02867225408028231,195.0,U,Black
Serra Paragon,0.9921197793538219,1259.0,M,White
Shadow Prophecy,0.0011840324763193505,21.0,C,Black
Shadow-Rite Priest,0.12716763005780346,330.0,R,Black
Shalai's Acolyte,0.027926322043969103,188.0,U,White
"Shanna, Purifying Blade",0.6952081696779262,885.0,M,"White, Blue, Green"
Sheoldred's Restoration,0.003123140987507436,21.0,U,Black
"Sheoldred, the Apocalypse",0.9938791124713083,1299.0,M,Black
Shield-Wall Sentinel,0.00809989875126561,144.0,C,Colourless
Shivan Devastator,0.9857142857142858,1242.0,M,Red
Shivan Reef,0.05548996458087367,141.0,R,Colourless
Shore Up,0.0022230867559606513,40.0,C,Blue
Silver Scrutiny,0.4899009900990099,1237.0,R,Blue
Silverback Elder,0.9187547456340167,1210.0,M,Green
Slimefoot's Survey,0.00455748309320788,31.0,U,Green
